src_ip,dst_ip,src_port,dst_port,protocol,packet_count,duration,avg_packet_size
192.168.118.134,192.168.118.2,40605,53,UDP,2,0.000127,95.0
192.168.118.134,192.168.118.2,55026,53,UDP,2,0.000066,97.0
192.168.118.2,192.168.118.134,53,40605,UDP,2,0.000002,117.0
192.168.118.2,192.168.118.134,53,55026,UDP,2,0.000000,155.0
192.168.118.134,34.160.144.191,41830,443,TCP,9,0.277694,107.33
192.168.118.134,34.160.144.191,41842,443,TCP,31,197.045416,104.97
192.168.118.134,34.160.144.191,41858,443,TCP,9,0.274037,107.33
192.168.118.134,151.101.157.91,37644,443,TCP,43,206.809002,108.47
34.160.144.191,192.168.118.134,443,41858,TCP,9,0.218763,440.0
34.160.144.191,192.168.118.134,443,41830,TCP,9,0.218568,440.0
34.160.144.191,192.168.118.134,443,41842,TCP,33,196.988545,852.21
151.101.157.91,192.168.118.134,443,37644,TCP,44,206.753393,1017.59
192.168.118.134,192.168.118.2,60921,53,UDP,1,0,71.0
192.168.118.134,192.168.118.2,48862,53,UDP,2,0.000001,71.0
192.168.118.134,192.168.118.2,41071,53,UDP,2,0.000265,73.0
192.168.118.134,192.168.118.2,51151,53,UDP,1,0,78.0
192.168.118.2,192.168.118.134,53,60921,UDP,1,0,103.0
192.168.118.2,192.168.118.134,53,41071,UDP,2,0.003202,117.0
192.168.118.2,192.168.118.134,53,48862,UDP,2,0.001066,101.0
192.168.118.2,192.168.118.134,53,51151,UDP,1,0,123.0
192.168.118.1,239.255.255.250,56149,1900,UDP,4,3.028631,212.0
192.168.118.134,192.168.118.2,48230,53,UDP,2,0.000133,87.0
192.168.118.134,151.101.157.91,42234,443,TCP,10,0.406266,127.5
192.168.118.2,192.168.118.134,53,48230,UDP,2,0.020221,175.0
192.168.118.134,192.168.118.2,59953,53,UDP,2,0.000127,84.0
192.168.118.134,151.101.65.91,48364,443,TCP,19,171.736141,104.63
192.168.118.2,192.168.118.134,53,59953,UDP,2,0.001179,176.0
192.168.118.134,34.49.51.44,57908,443,TCP,18,170.714660,195.67
151.101.157.91,192.168.118.134,443,42234,TCP,10,0.326310,84.1
151.101.65.91,192.168.118.134,443,48364,TCP,20,171.665645,509.3
34.49.51.44,192.168.118.134,443,57908,TCP,20,170.635400,268.35
192.168.118.134,192.168.118.2,37631,53,UDP,1,0,104.0
192.168.118.134,192.168.118.2,38167,53,UDP,2,0.000124,104.0
192.168.118.2,192.168.118.134,53,38167,UDP,2,0.004587,159.0
192.168.118.2,192.168.118.134,53,37631,UDP,1,0,198.0
192.168.118.134,151.101.157.91,42236,443,TCP,10,0.377970,268.6
192.168.118.134,151.101.157.91,42242,443,TCP,19,171.373301,222.95
192.168.118.134,151.101.157.91,42258,443,TCP,9,0.314916,292.44
192.168.118.134,151.101.157.91,42274,443,TCP,11,0.377655,249.09
192.168.118.134,151.101.157.91,42282,443,TCP,10,0.377430,268.6
192.168.118.134,151.101.157.91,42294,443,TCP,9,0.377163,292.44
192.168.118.134,192.168.118.2,32775,53,UDP,2,0.000095,96.0
192.168.118.134,34.160.144.191,35942,443,TCP,9,0.289839,135.67
192.168.118.2,192.168.118.134,53,32775,UDP,2,0.000002,180.0
192.168.118.134,35.190.72.216,43799,443,UDP,8,0.308438,424.75
151.101.157.91,192.168.118.134,443,42258,TCP,9,0.219864,567.11
34.160.144.191,192.168.118.134,443,35942,TCP,9,0.219862,87.22
151.101.157.91,192.168.118.134,443,42236,TCP,10,0.282726,515.8
151.101.157.91,192.168.118.134,443,42294,TCP,9,0.282358,567.11
151.101.157.91,192.168.118.134,443,42274,TCP,11,0.282359,473.82
151.101.157.91,192.168.118.134,443,42242,TCP,21,171.277905,309.48
151.101.157.91,192.168.118.134,443,42282,TCP,10,0.282504,516.4
192.168.118.134,35.190.72.216,55158,443,TCP,16,171.261070,195.81
35.190.72.216,192.168.118.134,443,43799,UDP,11,0.344414,562.82
35.190.72.216,192.168.118.134,443,55158,TCP,17,171.183780,283.47
192.168.118.134,192.168.118.2,51615,53,UDP,2,0.000161,94.0
192.168.118.134,192.168.118.2,36120,53,UDP,2,0.000148,76.0
192.168.118.2,192.168.118.134,53,51615,UDP,2,0.000001,116.0
192.168.118.134,34.160.90.233,55042,443,TCP,19,170.978932,112.11
192.168.118.2,192.168.118.134,53,36120,UDP,2,0.000001,134.0
192.168.118.134,151.101.157.91,42308,443,TCP,22,229.002384,113.82
34.160.90.233,192.168.118.134,443,55042,TCP,19,170.901048,347.95
151.101.157.91,192.168.118.134,443,42308,TCP,23,228.937317,380.96
192.168.118.134,192.168.118.2,48793,53,UDP,1,0,70.0
192.168.118.134,192.168.118.2,51137,53,UDP,2,0.000035,70.0
192.168.118.2,192.168.118.134,53,51137,UDP,2,0.011475,92.0
192.168.118.2,192.168.118.134,53,48793,UDP,1,0,135.0
192.168.118.134,20.207.73.82,47822,443,TCP,12,0.733266,230.0
192.168.118.134,20.207.73.82,47838,443,TCP,10,0.732875,265.2
192.168.118.134,20.207.73.82,47846,443,TCP,50,41.444612,127.98
20.207.73.82,192.168.118.134,443,47838,TCP,10,0.628171,392.4
20.207.73.82,192.168.118.134,443,47846,TCP,73,41.340066,3127.32
20.207.73.82,192.168.118.134,443,47822,TCP,12,0.628170,336.0
192.168.118.134,192.168.118.2,39195,53,UDP,2,0.000145,76.0
192.168.118.2,192.168.118.134,53,39195,UDP,2,0.000002,156.0
192.168.118.134,104.18.38.233,43390,80,TCP,18,115.840709,79.0
192.168.118.134,104.18.38.233,43402,80,TCP,22,119.869713,113.64
192.168.118.134,104.18.38.233,43418,80,TCP,20,119.869731,98.05
104.18.38.233,192.168.118.134,80,43402,TCP,20,119.832938,233.65
104.18.38.233,192.168.118.134,80,43418,TCP,18,119.801688,181.56
104.18.38.233,192.168.118.134,80,43390,TCP,16,115.772172,128.31
192.168.118.134,192.168.118.2,34450,53,UDP,1,0,83.0
192.168.118.134,192.168.118.2,43030,53,UDP,2,0.000117,83.0
192.168.118.2,192.168.118.134,53,34450,UDP,1,0,148.0
192.168.118.2,192.168.118.134,53,43030,UDP,2,0.000000,171.0
192.168.118.134,185.199.110.154,48366,443,TCP,11,0.272628,247.18
