src_ip,dst_ip,src_port,dst_port,protocol,packet_count,duration,total_bytes,avg_packet_size,min_iat,max_iat,mean_iat,std_iat,bytes_per_second,packets_per_second,avg_bytes_per_packet,dns_query_length,dns_subdomain_depth,dns_entropy,flag_high_packet,flag_long_duration,flag_high_dns_entropy,flag_deep_dns,suspicion_score,ml_anomaly_score,ml_score_normalized,rule_score_normalized,final_threat_score,severity
192.168.118.134,192.168.118.2,40605,53,UDP,2,0.000127,190,95.0,0.000127,0.000127,0.000127,0.0,1495155.27,15738.48,95.0,35,3,3.954,False,False,True,False,1,0.0779595549463678,0.7073909773964395,0.5,0.5829563909585758,MEDIUM
192.168.118.134,192.168.118.2,55026,53,UDP,2,6.6e-05,194,97.0,6.6e-05,6.6e-05,6.6e-05,0.0,2937526.99,30283.78,97.0,37,4,3.892,False,False,True,True,2,0.0465234759467502,0.626507743304626,1.0,0.8506030973218504,HIGH
192.168.118.2,192.168.118.134,53,40605,UDP,2,2e-06,234,117.0,2e-06,2e-06,2e-06,0.0,109051904.0,932067.56,117.0,35,3,3.954,False,False,True,False,1,0.0108860123300624,0.5348145867827166,0.5,0.5139258347130866,MEDIUM
192.168.118.2,192.168.118.134,53,55026,UDP,2,0.0,310,155.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,37,4,3.892,False,False,True,True,2,0.0538682176516983,0.6454053438187501,1.0,0.8581621375275,HIGH
192.168.118.134,34.160.144.191,41830,443,TCP,9,0.277694,966,107.33,5.8e-05,0.076606,0.034712,0.0328,3478.65,32.41,107.33,0,0,0.0,False,False,False,False,0,0.1798472574799009,0.9695422111809412,0.0,0.3878168844723764,MEDIUM
192.168.118.134,34.160.144.191,41842,443,TCP,31,197.045416,3254,104.97,3.7e-05,58.820102,6.568181,17.333611,16.51,0.16,104.97,0,0,0.0,False,False,False,False,0,0.0189034594057078,0.5554430197576445,0.0,0.2221772079030578,LOW
192.168.118.134,34.160.144.191,41858,443,TCP,9,0.274037,966,107.33,7.5e-05,0.07688,0.034255,0.032957,3525.07,32.84,107.33,0,0,0.0,False,False,False,False,0,0.1798472574799009,0.9695422111809412,0.0,0.3878168844723764,MEDIUM
192.168.118.134,151.101.157.91,37644,443,TCP,43,206.809002,4664,108.47,5e-05,58.540081,4.924024,14.900141,22.55,0.21,108.47,0,0,0.0,False,False,False,False,0,0.0149070302372483,0.5451604359796933,0.0,0.2180641743918773,LOW
34.160.144.191,192.168.118.134,443,41858,TCP,9,0.218763,3960,440.0,0.0,0.076396,0.027345,0.032455,18101.79,41.14,440.0,0,0,0.0,False,False,False,False,0,0.1804716306438284,0.9711486876368376,0.0,0.3884594750547351,MEDIUM
34.160.144.191,192.168.118.134,443,41830,TCP,9,0.218568,3960,440.0,0.000252,0.076228,0.027321,0.032155,18117.94,41.18,440.0,0,0,0.0,False,False,False,False,0,0.1775243129254919,0.9635654076432336,0.0,0.3854261630572934,MEDIUM
